run_index,seed,score,cosine_pearson,cosine_spearman,dot_pearson,dot_spearman,euclidean_pearson,euclidean_spearman,manhattan_pearson,manhattan_spearman
1,42,0.8529312164185052,0.84281313,0.8529312164185052,0.8106783,0.8135630926939553,0.849652,0.8568093931181486,0.8493765,0.8561002563318626
2,43,0.8529312164185052,0.84281313,0.8529312164185052,0.8106783,0.8135630926939553,0.849652,0.8568093931181486,0.8493765,0.8561002563318626
3,44,0.8529312164185052,0.84281313,0.8529312164185052,0.8106783,0.8135630926939553,0.849652,0.8568093931181486,0.8493765,0.8561002563318626
4,45,0.8529312164185052,0.84281313,0.8529312164185052,0.8106783,0.8135630926939553,0.849652,0.8568093931181486,0.8493765,0.8561002563318626
5,46,0.8529312164185052,0.84281313,0.8529312164185052,0.8106783,0.8135630926939553,0.849652,0.8568093931181486,0.8493765,0.8561002563318626
6,47,0.8529312164185052,0.84281313,0.8529312164185052,0.8106783,0.8135630926939553,0.849652,0.8568093931181486,0.8493765,0.8561002563318626
7,48,0.8529312164185052,0.84281313,0.8529312164185052,0.8106783,0.8135630926939553,0.849652,0.8568093931181486,0.8493765,0.8561002563318626
8,49,0.8529312164185052,0.84281313,0.8529312164185052,0.8106783,0.8135630926939553,0.849652,0.8568093931181486,0.8493765,0.8561002563318626
9,50,0.8529312164185052,0.84281313,0.8529312164185052,0.8106783,0.8135630926939553,0.849652,0.8568093931181486,0.8493765,0.8561002563318626
10,51,0.8529312164185052,0.84281313,0.8529312164185052,0.8106783,0.8135630926939553,0.849652,0.8568093931181486,0.8493765,0.8561002563318626
