run_index,seed,score,cosine_pearson,cosine_spearman,dot_pearson,dot_spearman,euclidean_pearson,euclidean_spearman,manhattan_pearson,manhattan_spearman
1,42,0.7698430960996038,0.74145293,0.7698430960996038,0.72731805,0.7270071192022488,0.7712925,0.7707402585119252,0.7729571,0.771238280670305
2,43,0.7698430960996038,0.74145293,0.7698430960996038,0.72731805,0.7270071192022488,0.7712925,0.7707402585119252,0.7729571,0.771238280670305
3,44,0.7698430960996038,0.74145293,0.7698430960996038,0.72731805,0.7270071192022488,0.7712925,0.7707402585119252,0.7729571,0.771238280670305
4,45,0.7698430960996038,0.74145293,0.7698430960996038,0.72731805,0.7270071192022488,0.7712925,0.7707402585119252,0.7729571,0.771238280670305
5,46,0.7698430960996038,0.74145293,0.7698430960996038,0.72731805,0.7270071192022488,0.7712925,0.7707402585119252,0.7729571,0.771238280670305
6,47,0.7698430960996038,0.74145293,0.7698430960996038,0.72731805,0.7270071192022488,0.7712925,0.7707402585119252,0.7729571,0.771238280670305
7,48,0.7698430960996038,0.74145293,0.7698430960996038,0.72731805,0.7270071192022488,0.7712925,0.7707402585119252,0.7729571,0.771238280670305
8,49,0.7698430960996038,0.74145293,0.7698430960996038,0.72731805,0.7270071192022488,0.7712925,0.7707402585119252,0.7729571,0.771238280670305
9,50,0.7698430960996038,0.74145293,0.7698430960996038,0.72731805,0.7270071192022488,0.7712925,0.7707402585119252,0.7729571,0.771238280670305
10,51,0.7698430960996038,0.74145293,0.7698430960996038,0.72731805,0.7270071192022488,0.7712925,0.7707402585119252,0.7729571,0.771238280670305
